Category,Variable,Description,Full_Missing_Pct,Full_Raw_Mean_Std,Full_Capped_Mean_Std,Full_Median_IQR,Full_Min_Max,MDP_Missing_Pct,MDP_Raw_Mean_Std,MDP_Capped_Mean_Std,MDP_Median_IQR,MDP_Min_Max
Hematology & Coagulation,WBC,White Blood Cell Count (10^9/L),88.87,12.48 ± 10.57,12.15 ± 6.67 [P1: 1.6 | P99: 39.86],10.8 [7.7 - 15.0],0.0 to 525.1,0.0,13.76 ± 9.94,13.51 ± 7.38 [P1: 1.7 | P99: 42.3],12.0 [8.53 - 16.7],0.0 to 462.6
Hematology & Coagulation,PLATELET,Platelet Count (10^9/L),88.75,197.24 ± 110.48,195.95 ± 103.44 [P1: 24.0 | P99: 570.0],179.0 [126.0 - 246.0],5.0 to 2947.0,0.0,198.04 ± 116.42,196.7 ± 109.2 [P1: 27.0 | P99: 595.0],176.0 [120.0 - 250.0],5.0 to 1799.0
Hematology & Coagulation,PTT,Partial Thromboplastin Time (seconds),91.59,41.37 ± 25.7,41.38 ± 25.69 [P1: 21.2 | P99: 150.0],31.8 [27.7 - 42.2],12.6 to 150.0,0.0,39.45 ± 22.26,39.46 ± 22.25 [P1: 21.6 | P99: 150.0],31.8 [27.7 - 40.5],16.6 to 150.0
Hematology & Coagulation,PT,Prothrombin Time (seconds),91.88,16.82 ± 9.27,16.58 ± 7.36 [P1: 10.3 | P99: 55.13],14.2 [12.6 - 17.2],7.75 to 150.0,0.0,17.34 ± 10.39,17.31 ± 10.07 [P1: 10.4 | P99: 78.2],14.4 [12.8 - 17.3],7.75 to 150.0
Hematology & Coagulation,INR,International Normalized Ratio (INR),91.89,1.54 ± 0.88,1.52 ± 0.7 [P1: 0.9 | P99: 5.2],1.3 [1.1 - 1.6],0.6 to 27.4,0.0,1.59 ± 1.01,1.59 ± 0.95 [P1: 1.0 | P99: 7.42],1.3 [1.2 - 1.6],0.7 to 20.8
Mechanical Ventilation,MechVent,Mechanical Ventilation Active (0/1),0.0,0.3 ± 0.46,0.3 ± 0.46 [P1: 0.0 | P99: 1.0],0.0 [0.0 - 1.0],0.0 to 1.0,0.0,0.5 ± 0.5,0.5 ± 0.5 [P1: 0.0 | P99: 1.0],0.0 [0.0 - 1.0],0.0 to 1.0
Mechanical Ventilation,FiO2,Fraction of Inspired Oxygen (%),63.06,47.98 ± 16.01,48.03 ± 15.95 [P1: 30.0 | P99: 100.0],40.0 [40.0 - 50.0],21.0 to 100.0,0.0,47.17 ± 15.35,47.22 ± 15.28 [P1: 30.0 | P99: 100.0],40.0 [40.0 - 50.0],21.0 to 100.0
Mechanical Ventilation,PEEP,Positive End-Expiratory Pressure (cmH2O),71.29,27.36 ± 11861.26,7.11 ± 3.22 [P1: 0.0 | P99: 18.16],5.0 [5.0 - 8.5],-9.5 to 8774580.0,0.0,18.14 ± 9002.31,6.47 ± 2.98 [P1: 0.0 | P99: 18.0],5.0 [5.0 - 8.0],0.0 to 8774580.0
Mechanical Ventilation,tidal_volume,Exhaled Tidal Volume (mL),71.49,482.77 ± 2337.72,461.44 ± 124.42 [P1: 204.0 | P99: 910.0],450.0 [380.5 - 520.0],0.0 to 820914.0,0.0,499.28 ± 1627.19,468.44 ± 139.5 [P1: 150.0 | P99: 980.0],451.0 [380.0 - 531.0],0.0 to 820914.0
Mechanical Ventilation,plateau_pressure,Plateau Pressure (cmH2O),88.82,860.57 ± 421089.07,20.58 ± 5.45 [P1: 10.4 | P99: 36.0],20.0 [16.0 - 24.0],0.0 to 211111000.0,0.0,207.53 ± 199445.25,19.04 ± 4.84 [P1: 9.0 | P99: 33.0],18.0 [16.0 - 22.0],0.0 to 211111000.0
Fluids & Vasopressors,urineoutput,Urine Output Volume (mL/4h),0.0,70.84 ± 619.71,67.38 ± 181.26 [P1: 0.0 | P99: 950.0],0.0 [0.0 - 0.0],-18000.0 to 876587.0,0.0,39.18 ± 154.91,36.29 ± 130.69 [P1: 0.0 | P99: 775.0],0.0 [0.0 - 0.0],-6000.0 to 4700.0
Fluids & Vasopressors,iv_total,Intravenous Fluid Intake (mL/4h),0.0,328.58 ± 624.06,318.22 ± 539.49 [P1: 0.0 | P99: 2695.8],50.0 [0.0 - 400.0],0.0 to 100600.0,0.0,403.04 ± 691.98,392.21 ± 600.39 [P1: 0.0 | P99: 2966.67],100.0 [0.0 - 520.0],0.0 to 100600.0
Fluids & Vasopressors,cum_fluid_balance,Cumulative Fluid Balance (mL),25.84,-13633.45 ± 30943.2,-12906.98 ± 19251.94 [P1: -107871.65 | P99: -100.0],-5315.0 [-14916.69 - -1949.5],-4376987.0 to 925.0,0.0,-18784.22 ± 38552.54,-17837.97 ± 23893.99 [P1: -130903.0 | P99: -60.0],-8748.0 [-22597.5 - -2891.5],-4376987.0 to 20.0
Fluids & Vasopressors,vaso_total,Total Vasopressor Equivalent Rate,88.03,2.65 ± 42.88,2.37 ± 6.26 [P1: 0.01 | P99: 30.02],0.18 [0.07 - 0.46],0.0 to 19992.0,0.0,1.81 ± 21.64,1.61 ± 4.18 [P1: 0.01 | P99: 20.18],0.18 [0.05 - 0.5],0.0 to 19992.0
RL State & Actions,cluster_label,K-Means State Cluster Label (0-499),,-,-,-,-,0.0,249.12 ± 145.26,249.13 ± 145.17 [P1: 5.0 | P99: 496.0],251.0 [124.0 - 373.0],0.0 to 499.0
RL State & Actions,PEEP_binned,PEEP Action Quintile Bin (0-4),,-,-,-,-,0.0,0.54 ± 0.79,0.54 ± 0.79 [P1: 0.0 | P99: 2.0],0.0 [0.0 - 1.0],0.0 to 2.0
RL State & Actions,FiO2_binned,FiO2 Action Quintile Bin (0-4),,-,-,-,-,0.0,0.63 ± 0.77,0.63 ± 0.77 [P1: 0.0 | P99: 2.0],0.0 [0.0 - 1.0],0.0 to 2.0
RL State & Actions,tidal_volume_binned,Tidal Volume Action Quintile Bin (0-4),,-,-,-,-,0.0,1.99 ± 1.42,1.99 ± 1.42 [P1: 0.0 | P99: 4.0],2.0 [1.0 - 3.0],0.0 to 4.0
RL State & Actions,RespRate_binned,Resp Rate Action Quintile Bin (0-4),,-,-,-,-,0.0,1.99 ± 1.42,1.99 ± 1.42 [P1: 0.0 | P99: 4.0],2.0 [1.0 - 3.0],0.0 to 4.0
RL State & Actions,subject_has_deathtime,Mortality Outcome Indicator (-1/+1 Reward),,-,-,-,-,0.0,0.29 ± 0.45,0.29 ± 0.45 [P1: 0.0 | P99: 1.0],0.0 [0.0 - 1.0],0.0 to 1.0
