Dataset,Category,Variable,Description,Total_Rows,Valid_Count,Missing_Count,Missing_Percent,Mean,Std,Min,P25,Median,P75,Max,IQR
Full_Dataset_Unfiltered,Hematology & Coagulation,PTT,Partial Thromboplastin Time (seconds),2248324,189191,2059133,91.59,41.37,25.7,12.6,27.7,31.8,42.2,150.0,14.5
Full_Dataset_Unfiltered,Hematology & Coagulation,PT,Prothrombin Time (seconds),2248324,182470,2065854,91.88,16.82,9.27,7.75,12.6,14.2,17.2,150.0,4.6
Full_Dataset_Unfiltered,Hematology & Coagulation,INR,International Normalized Ratio (INR),2248324,182426,2065898,91.89,1.54,0.88,0.6,1.1,1.3,1.6,27.4,0.5
Full_Dataset_Unfiltered,Mechanical Ventilation,MechVent,Mechanical Ventilation Active (0/1),2248324,2248324,0,0.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0,1.0
Full_Dataset_Unfiltered,Mechanical Ventilation,FiO2,Fraction of Inspired Oxygen (%),2248324,830496,1417828,63.06,47.98,16.01,21.0,40.0,40.0,50.0,100.0,10.0
Full_Dataset_Unfiltered,Mechanical Ventilation,PEEP,Positive End-Expiratory Pressure (cmH2O),2248324,645387,1602937,71.29,27.36,11861.26,-9.5,5.0,5.0,8.5,8774580.0,3.5
Full_Dataset_Unfiltered,Mechanical Ventilation,tidal_volume,Exhaled Tidal Volume (mL),2248324,641031,1607293,71.49,482.77,2337.72,0.0,380.5,450.0,520.0,820914.0,139.5
Full_Dataset_Unfiltered,Mechanical Ventilation,plateau_pressure,Plateau Pressure (cmH2O),2248324,251347,1996977,88.82,860.57,421089.07,0.0,16.0,20.0,24.0,211111000.0,8.0
Full_Dataset_Unfiltered,Fluids & Vasopressors,urineoutput,Urine Output Volume (mL/4h),2248324,2248324,0,0.0,70.84,619.71,-18000.0,0.0,0.0,0.0,876587.0,0.0
Full_Dataset_Unfiltered,Fluids & Vasopressors,iv_total,Intravenous Fluid Intake (mL/4h),2248324,2248324,0,0.0,328.58,624.06,0.0,0.0,50.0,400.0,100600.0,400.0
Full_Dataset_Unfiltered,Fluids & Vasopressors,cum_fluid_balance,Cumulative Fluid Balance (mL),2248324,1667336,580988,25.84,-13633.45,30943.2,-4376987.0,-14916.69,-5315.0,-1949.5,925.0,12967.19
Full_Dataset_Unfiltered,Fluids & Vasopressors,vaso_total,Total Vasopressor Equivalent Rate,2248324,269029,1979295,88.03,2.65,42.88,0.0,0.07,0.18,0.46,19992.0,0.39
MDP_Cohort,Demographics,gender,Patient Gender (M/F),1120403,1120403,0,0.0,,,,,,,,
MDP_Cohort,Demographics,first_admit_age,Age at First Admission (years),1120403,1120403,0,0.0,63.09,15.66,18.0,54.0,64.0,74.0,91.4,20.0
MDP_Cohort,Demographics,weight,Patient Weight (kg),1120403,1120403,0,0.0,87.5,25.89,-54.6,70.82,84.03,100.1,352.0,29.28
MDP_Cohort,Demographics,ICU_readm,ICU Readmission Flag (0/1),1120403,1120403,0,0.0,0.57,0.49,0.0,0.0,1.0,1.0,1.0,1.0
MDP_Cohort,Demographics,elixhauser_score,Elixhauser Comorbidity Score,1120403,1120403,0,0.0,5.87,9.23,-14.0,0.0,0.0,11.0,53.0,11.0
MDP_Cohort,Demographics,HospMort90day,90-Day In-Hospital Mortality Flag (0/1),1120403,1120403,0,0.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0,1.0
MDP_Cohort,Severity Scores,SOFA,Sequential Organ Failure Assessment Score,1120403,1120403,0,0.0,5.89,2.36,0.0,4.0,5.0,7.0,23.0,3.0
MDP_Cohort,Severity Scores,SIRS,Systemic Inflammatory Response Syndrome Score,1120403,1120403,0,0.0,1.03,0.86,0.0,0.0,1.0,2.0,4.0,2.0
MDP_Cohort,Severity Scores,gcs,Glasgow Coma Scale Total,1120403,1120403,0,0.0,10.22,4.06,3.0,7.0,10.0,14.0,15.0,7.0
MDP_Cohort,Vital Signs,HeartRate,Heart Rate (bpm),1120403,1120403,0,0.0,87.78,17.29,2.0,75.5,86.67,99.0,215.38,23.5
MDP_Cohort,Vital Signs,SysBP,Systolic Blood Pressure (mmHg),1120403,1120403,0,0.0,118.91,19.32,7.0,105.2,116.5,131.0,278.0,25.8
MDP_Cohort,Vital Signs,DiasBP,Diastolic Blood Pressure (mmHg),1120403,1120403,0,0.0,62.16,12.79,6.0,53.25,60.75,70.0,199.0,16.75
MDP_Cohort,Vital Signs,MeanBP,Mean Arterial Pressure (mmHg),1120403,1120403,0,0.0,78.79,13.12,3.0,69.75,77.0,86.25,299.0,16.5
MDP_Cohort,Vital Signs,shockindex,Shock Index (SysBP / HeartRate),1120403,1120403,0,0.0,1.41,0.38,0.07,1.14,1.36,1.63,5.26,0.49
MDP_Cohort,Vital Signs,RespRate,Respiratory Rate (bpm),1120403,1120403,0,0.0,20.87,5.31,2.0,17.0,20.25,24.12,68.0,7.12
MDP_Cohort,Vital Signs,TempC,Body Temperature (°C),1120403,1120403,0,0.0,36.99,0.66,26.44,36.63,36.94,37.33,43.06,0.7
MDP_Cohort,Vital Signs,SpO2,Pulse Oximetry Saturation (%),1120403,1120403,0,0.0,96.89,3.46,1.0,95.5,97.5,99.0,100.0,3.5
MDP_Cohort,Blood Gas & Acid-Base,PH,Arterial Blood Gas pH,1120403,1120403,0,0.0,7.37,0.08,7.0,7.33,7.38,7.42,7.76,0.09
MDP_Cohort,Blood Gas & Acid-Base,PAO2,"Partial Pressure of Oxygen (PaO2, mmHg)",1120403,1120403,0,0.0,90.03,10.18,70.0,83.0,89.8,97.0,110.0,14.0
MDP_Cohort,Blood Gas & Acid-Base,PACO2,"Partial Pressure of Carbon Dioxide (PaCO2, mmHg)",1120403,1120403,0,0.0,40.33,7.53,22.0,35.0,40.0,45.0,58.0,10.0
MDP_Cohort,Blood Gas & Acid-Base,BASE_EXCESS,Base Excess (mEq/L),1120403,1120403,0,0.0,-0.86,4.19,-10.0,-3.83,-0.5,1.0,10.0,4.83
MDP_Cohort,Blood Gas & Acid-Base,BICARBONATE,Serum Bicarbonate (mEq/L),1120403,1120403,0,0.0,22.79,5.0,2.0,20.0,22.0,25.0,50.0,5.0
MDP_Cohort,Blood Gas & Acid-Base,LACTATE,Serum Lactate (mmol/L),1120403,1120403,0,0.0,2.09,1.68,0.1,1.2,1.6,2.4,28.7,1.2
MDP_Cohort,Blood Gas & Acid-Base,PAO2FiO2ratio,PaO2 / FiO2 Ratio (Horowitz Index),1120403,1120403,0,0.0,184.41,53.99,70.0,149.62,182.36,215.0,509.52,65.38
MDP_Cohort,Electrolytes & Chemistries,POTASSIUM,Serum Potassium (mEq/L),1120403,1120403,0,0.0,4.22,0.61,1.27,3.8,4.2,4.6,11.49,0.8
MDP_Cohort,Electrolytes & Chemistries,SODIUM,Serum Sodium (mEq/L),1120403,1120403,0,0.0,138.64,5.27,73.96,136.0,139.0,142.0,187.0,6.0
MDP_Cohort,Electrolytes & Chemistries,CHLORIDE,Serum Chloride (mEq/L),1120403,1120403,0,0.0,104.22,6.65,60.67,100.0,105.0,108.0,203.67,8.0
MDP_Cohort,Electrolytes & Chemistries,GLUCOSE,Serum Glucose (mg/dL),1120403,1120403,0,0.0,141.13,56.35,3.0,106.0,128.0,161.0,4560.0,55.0
MDP_Cohort,Electrolytes & Chemistries,BUN,Blood Urea Nitrogen (mg/dL),1120403,1120403,0,0.0,31.54,24.35,1.0,15.0,24.0,40.0,263.0,25.0
MDP_Cohort,Electrolytes & Chemistries,CREATININE,Serum Creatinine (mg/dL),1120403,1120403,0,0.0,1.69,1.57,0.0,0.8,1.1,2.0,62.23,1.2
MDP_Cohort,Electrolytes & Chemistries,MAGNESIUM,Serum Magnesium (mg/dL),1120403,1120403,0,0.0,2.17,0.54,0.0,1.9,2.1,2.4,40.5,0.5
MDP_Cohort,Electrolytes & Chemistries,CALCIUM,Serum Calcium (mg/dL),1120403,1120403,0,0.0,8.27,0.83,0.0,7.8,8.2,8.7,22.5,0.9
MDP_Cohort,Electrolytes & Chemistries,CARBONDIOXIDE,Total Carbon Dioxide (mEq/L),1120403,1120403,0,0.0,24.83,5.62,3.5,21.0,24.0,28.0,64.0,7.0
MDP_Cohort,Liver & Proteins,SGOT,"Aspartate Aminotransferase (AST/SGOT, IU/L)",1120403,1120403,0,0.0,154.97,3064.52,3.0,25.0,43.0,93.7,999999.0,68.7
MDP_Cohort,Liver & Proteins,SGPT,"Alanine Aminotransferase (ALT/SGPT, IU/L)",1120403,1120403,0,0.0,112.35,3010.69,0.0,16.0,31.0,76.0,999999.0,60.0
MDP_Cohort,Liver & Proteins,BILIRUBIN,Total Bilirubin (mg/dL),1120403,1120403,0,0.0,1.85,4.22,0.0,0.4,0.7,1.4,78.0,1.0
MDP_Cohort,Liver & Proteins,ALBUMIN,Serum Albumin (g/dL),1120403,1120403,0,0.0,2.97,0.57,0.5,2.6,2.99,3.32,6.0,0.72
MDP_Cohort,Hematology & Coagulation,HEMOGLOBIN,Hemoglobin (g/dL),1120403,1120403,0,0.0,10.12,2.05,2.3,8.6,9.9,11.4,30.3,2.8
MDP_Cohort,Hematology & Coagulation,WBC,White Blood Cell Count (10^9/L),1120403,1120403,0,0.0,13.76,9.94,0.0,8.53,12.0,16.7,462.6,8.17
MDP_Cohort,Hematology & Coagulation,PLATELET,Platelet Count (10^9/L),1120403,1120403,0,0.0,198.04,116.42,5.0,120.0,176.0,250.0,1799.0,130.0
MDP_Cohort,Hematology & Coagulation,PTT,Partial Thromboplastin Time (seconds),1120403,1120403,0,0.0,39.45,22.26,16.6,27.7,31.8,40.5,150.0,12.8
MDP_Cohort,Hematology & Coagulation,PT,Prothrombin Time (seconds),1120403,1120403,0,0.0,17.34,10.39,7.75,12.8,14.4,17.3,150.0,4.5
MDP_Cohort,Hematology & Coagulation,INR,International Normalized Ratio (INR),1120403,1120403,0,0.0,1.59,1.01,0.7,1.2,1.3,1.6,20.8,0.4
MDP_Cohort,Mechanical Ventilation,MechVent,Mechanical Ventilation Active (0/1),1120403,1120403,0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
MDP_Cohort,Mechanical Ventilation,FiO2,Fraction of Inspired Oxygen (%),1120403,1120403,0,0.0,47.17,15.35,21.0,40.0,40.0,50.0,100.0,10.0
MDP_Cohort,Mechanical Ventilation,PEEP,Positive End-Expiratory Pressure (cmH2O),1120403,1120403,0,0.0,18.14,9002.31,0.0,5.0,5.0,8.0,8774580.0,3.0
MDP_Cohort,Mechanical Ventilation,tidal_volume,Exhaled Tidal Volume (mL),1120403,1120403,0,0.0,499.28,1627.19,0.0,380.0,451.0,531.0,820914.0,151.0
MDP_Cohort,Mechanical Ventilation,plateau_pressure,Plateau Pressure (cmH2O),1120403,1120403,0,0.0,207.53,199445.25,0.0,16.0,18.0,22.0,211111000.0,6.0
MDP_Cohort,Fluids & Vasopressors,urineoutput,Urine Output Volume (mL/4h),1120403,1120403,0,0.0,39.18,154.91,-6000.0,0.0,0.0,0.0,4700.0,0.0
MDP_Cohort,Fluids & Vasopressors,iv_total,Intravenous Fluid Intake (mL/4h),1120403,1120403,0,0.0,403.04,691.98,0.0,0.0,100.0,520.0,100600.0,520.0
MDP_Cohort,Fluids & Vasopressors,cum_fluid_balance,Cumulative Fluid Balance (mL),1120403,1120403,0,0.0,-18784.22,38552.54,-4376987.0,-22597.5,-8748.0,-2891.5,20.0,19706.0
MDP_Cohort,Fluids & Vasopressors,vaso_total,Total Vasopressor Equivalent Rate,1120403,1120403,0,0.0,1.81,21.64,0.0,0.05,0.18,0.5,19992.0,0.45
MDP_Cohort,RL State & Actions,cluster_label,K-Means State Cluster Label (0-499),1120403,1120403,0,0.0,249.12,145.26,0.0,124.0,251.0,373.0,499.0,249.0
MDP_Cohort,RL State & Actions,PEEP_binned,PEEP Action Quintile Bin (0-4),1120403,1120403,0,0.0,0.54,0.79,0.0,0.0,0.0,1.0,2.0,1.0
MDP_Cohort,RL State & Actions,FiO2_binned,FiO2 Action Quintile Bin (0-4),1120403,1120403,0,0.0,0.63,0.77,0.0,0.0,0.0,1.0,2.0,1.0
MDP_Cohort,RL State & Actions,tidal_volume_binned,Tidal Volume Action Quintile Bin (0-4),1120403,1120403,0,0.0,1.99,1.42,0.0,1.0,2.0,3.0,4.0,2.0
MDP_Cohort,RL State & Actions,RespRate_binned,Resp Rate Action Quintile Bin (0-4),1120403,1120403,0,0.0,1.99,1.42,0.0,1.0,2.0,3.0,4.0,2.0
MDP_Cohort,RL State & Actions,subject_has_deathtime,Mortality Outcome Indicator (-1/+1 Reward),1120403,1120403,0,0.0,0.29,0.45,0.0,0.0,0.0,1.0,1.0,1.0
